"year","nPos","nNeg","nTotal","propPos"
2004,0,49,49,0
2005,2,14,16,0.125
2006,3,19,22,0.136363636363636
2007,10,9,19,0.526315789473684
2008,10,16,26,0.384615384615385
2009,41,19,60,0.683333333333333
2010,65,9,74,0.878378378378378
2011,71,6,77,0.922077922077922
2012,24,2,26,0.923076923076923
2013,111,20,131,0.847328244274809
2014,70,9,79,0.886075949367089
2015,52,11,63,0.825396825396825
2017,47,7,54,0.87037037037037
