"year","nPos","nNeg","nTotal","propPos"
2004,0,21,21,0
2005,0,25,25,0
2007,4,31,35,0.114285714285714
2008,1,14,15,0.0666666666666667
2009,6,58,64,0.09375
2010,5,4,9,0.555555555555556
2011,10,15,25,0.4
2012,12,36,48,0.25
2013,56,88,144,0.388888888888889
2014,14,14,28,0.5
2015,0,2,2,0
2017,3,6,9,0.333333333333333
